company_name,total_since_2011,total_since_2017,total_since_2022,total_since_2025,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,link
Concentra Health Services,2180000.0,1402500.0,640000.0,160000.0,122500.0,160000.0,90000.0,122500.0,85000.0,160000.0,160000.0,160000.0,160000.0,122500.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,
Tennessee Cash Advance Association,2167500.0,1142500.0,292500.0,0.0,97500.0,85000.0,155000.0,172500.0,205000.0,147500.0,172500.0,172500.0,185000.0,185000.0,185000.0,160000.0,135000.0,122500.0,85000.0,85000.0,0.0,
Consumer Healthcare Products Association,2165000.0,510000.0,85000.0,0.0,20000.0,65000.0,412500.0,187500.0,425000.0,237500.0,275000.0,117500.0,85000.0,85000.0,85000.0,85000.0,85000.0,0.0,0.0,85000.0,0.0,
Jack Daniel's/Brown-Forman,2162500.0,1490000.0,690000.0,210000.0,85000.0,85000.0,122500.0,85000.0,85000.0,85000.0,135000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,210000.0,
Tennessee Press Association,2157500.0,1075000.0,420000.0,85000.0,45000.0,65000.0,122500.0,210000.0,210000.0,122500.0,225000.0,192500.0,160000.0,122500.0,160000.0,90000.0,122500.0,52500.0,122500.0,160000.0,85000.0,
Coalition Of Large School Systems,2152500.0,1222500.0,297500.0,45000.0,0.0,0.0,130000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,310000.0,210000.0,160000.0,85000.0,122500.0,65000.0,65000.0,45000.0,
Humana,2147500.0,1452500.0,640000.0,160000.0,0.0,85000.0,45000.0,85000.0,85000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,172500.0,160000.0,160000.0,160000.0,160000.0,160000.0,
Center For Individual Freedom,2147500.0,2147500.0,2147500.0,467500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,662500.0,837500.0,467500.0,
Community Health Systems,2137500.0,1140000.0,340000.0,85000.0,160000.0,260000.0,310000.0,160000.0,122500.0,122500.0,122500.0,160000.0,160000.0,160000.0,122500.0,85000.0,272500.0,85000.0,85000.0,85000.0,85000.0,
Cigna - Express Scripts,2107500.0,1037500.0,320000.0,85000.0,105000.0,95000.0,122500.0,150000.0,307500.0,150000.0,170000.0,170000.0,207500.0,207500.0,132500.0,85000.0,85000.0,65000.0,85000.0,85000.0,85000.0,
American Heart Association,2097500.0,1237500.0,582500.0,160000.0,32500.0,32500.0,150000.0,187500.0,192500.0,122500.0,85000.0,122500.0,160000.0,122500.0,122500.0,85000.0,165000.0,102500.0,160000.0,160000.0,160000.0,
Reynolds American,2095000.0,1360000.0,640000.0,160000.0,0.0,85000.0,160000.0,85000.0,85000.0,85000.0,160000.0,160000.0,160000.0,160000.0,80000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,
Tennessee State Employees Association,2075000.0,1522500.0,640000.0,160000.0,172500.0,122500.0,102500.0,85000.0,85000.0,97500.0,97500.0,85000.0,85000.0,317500.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,160000.0,
