company_name,year,amount
Citizenlink,2011,20000.0
Citizens For Renewing America Inc,2022,312500.0
Citizens For Responsible Pet Ownership,2016,260000.0
City Leadership,2025,32500.0
City Of Franklin,2014,32500.0
"Civic Engineering & Information Technologies, Inc",2019,45000.0
"Civil Constructors, Llc",2015,552500.0
Civilis Strategies,2018,960000.0
Cke Restaurants,2013,102500.0
"Classic Optical Laboratories, Inc.",2017,22500.0
Classified Political Consultants Llc,2023,60000.0
Clean Energy,2015,20000.0
Clean Water Professionals Of Ky & Tn,2019,50000.0
Cleanspark,2025,122500.0
Clear,2025,42500.0
Clearview Ai,2022,32500.0
"Cleary Construction, Inc.",2022,270000.0
"Client Network Services, Llc",2022,97500.0
"Climbing Wall Association, Inc.",2011,20000.0
Clinical Solutions Pharmacy,2022,447500.0
"Cloud, Inc.",2022,20000.0
Cmh Services Inc.,2020,290000.0
Coal Creek Llc,2017,52500.0
"Coalition For Kids, Inc.",2024,170000.0
Coalition For Sustainable Roofing,2024,62500.0
"Coalition For Tennessee Redevelopment, Llc",2016,132500.0
Coalition Of Ignition Interlock Manufacturers,2015,247500.0
Coalition Of Large School Systems,2011,2152500.0
Cobblestone Development And Consulting Llc,2024,20000.0
Code.Org,2016,212500.0
Codecrew,2024,205000.0
Codell Construction Company,2011,55000.0
Cognia,2022,572500.0
Cognosante Consulting,2016,255000.0
College Board,2025,10000.0
Collier Engineering Co Inc,2024,87500.0
Columbia Pipeline Group,2015,452500.0
"Comcast Cable Communications Management, Llc",2023,180000.0
Comdata,2015,85000.0
Comenity Llc,2021,137500.0
Commerce Bank,2018,362500.0
"Commerce Title And Escrow, Llc",2025,45000.0
"Commercial Industrial Real Estate Associates, Inc.",2013,10000.0
Commercial Vehicle Training Association,2023,30000.0
"Communicare Technology, Inc Dba Pulsara",2025,42500.0
Communications International Inc.,2012,87500.0
Communications Workers Of America,2017,225000.0
Communities In Schools Of Tennessee,2014,645000.0
"Community Bank Services, Inc",2024,87500.0
Community Foundation Of Greater Chattanooga,2023,62500.0
Community Rehabilitation Agencies Of Tennessee,2015,212500.0
Community Resources For Justice,2017,20000.0
"Community Resources For Justice, Inc.",2020,40000.0
"Community Veterinary Clinics, Llc",2015,62500.0
Computer & Communications Industry Association (Ccia),2024,20000.0
Concerned Citizens,2020,85000.0
Concord Finance Inc.,2015,10000.0
Concordance,2021,372500.0
Concur Technologies,2024,32500.0
Conduent Incorporated And Its Affiliates,2025,42500.0
"Conduent, Inc. And Its Affiliates",2016,282500.0
Conexion Americas,2011,425000.0
Conexión Américas,2025,20000.0
Connected Nation Development Corporation,2014,20000.0
"Connecting The Heartland, Inc.",2022,85000.0
Connections Education Llc,2013,237500.0
"Constellation Brands, Inc.",2023,175000.0
"Constellation Newenergy, Inc.",2021,112500.0
"Constellation Properties, Llc",2025,22500.0
Consulate General Of The Kingdom Of The Netherlands,2025,35000.0
Consumer Brands Association,2025,20000.0
"Consumer Direct Holdings, Inc",2023,85000.0
Consumer Health Alliance,2020,77500.0
"Consumer Reports, Inc.",2018,50000.0
Consumers' Defense,2025,22500.0
Convention Of States Action,2015,115000.0
"Converge, Inc",2024,30000.0
Coopersurgical,2025,42500.0
Copart,2015,475000.0
Copper Cellar Corp,2011,42500.0
Core Media Group Inc.,2012,32500.0
Core2000 Llc D/B/A Orangetheory Fitness,2021,32500.0
"Corebridge Financial, Inc.",2024,102500.0
Corizon Health,2013,1427500.0
Council For A Strong America,2018,20000.0
Council For Compassionate Medicine,2017,102500.0
"Council On Public University Reform, Inc.",2022,20000.0
Country Music Hall Of Fame And Museum,2013,140000.0
Courage Beyond At Centerstone,2013,67500.0
"Craftworks Restaurants & Breweries Group, Inc.",2011,10000.0
