company_name,filing_period_raw,filing_period_display,end_year,lobbyist_compensation,lobbying_related_expenses,total
AIA Tennessee,2019-01-01-2019-06-30,Jan–Jun 2019,2019,37500.0,5000.0,42500.0
AIA Tennessee,2018-07-01-2018-12-31,Jul–Dec 2018,2018,37500.0,5000.0,42500.0
AIA Tennessee,2018-01-01-2018-06-30,Jan–Jun 2018,2018,37500.0,5000.0,42500.0
AIA Tennessee,2017-07-01-2017-12-31,Jul–Dec 2017,2017,37500.0,5000.0,42500.0
AIA Tennessee,2017-01-01-2017-06-30,Jan–Jun 2017,2017,37500.0,17500.0,55000.0
AIA Tennessee,2016-07-01-2016-12-31,Jul–Dec 2016,2016,37500.0,5000.0,42500.0
AIA Tennessee,2016-01-01-2016-06-30,Jan–Jun 2016,2016,75000.0,5000.0,80000.0
AIA Tennessee,2015-07-01-2015-12-31,Jul–Dec 2015,2015,37500.0,5000.0,42500.0
AIA Tennessee,2015-01-01-2015-06-30,Jan–Jun 2015,2015,37500.0,5000.0,42500.0
AIA Tennessee,2014-07-01-2014-12-31,Jul–Dec 2014,2014,37500.0,5000.0,42500.0
AIA Tennessee,2014-01-01-2014-06-30,Jan–Jun 2014,2014,37500.0,5000.0,42500.0
AIA Tennessee,2013-07-01-2013-12-31,Jul–Dec 2013,2013,17500.0,5000.0,22500.0
AIA Tennessee,2013-01-01-2013-06-30,Jan–Jun 2013,2013,17500.0,5000.0,22500.0
AIA Tennessee,2012-07-01-2012-12-31,Jul–Dec 2012,2012,37500.0,5000.0,42500.0
AIA Tennessee,2012-01-01-2012-06-30,Jan–Jun 2012,2012,37500.0,5000.0,42500.0
AIA Tennessee,2011-04-01-2011-12-31,Apr–Dec 2011,2011,75000.0,5000.0,80000.0
AIA Tennessee,2010-10-01-2011-03-31,Oct–Mar 2011,2011,17500.0,5000.0,22500.0
Aapan,2022-07-01-2022-12-31,Jul–Dec 2022,2022,5000.0,5000.0,10000.0
Aapan,2022-01-01-2022-06-30,Jan–Jun 2022,2022,17500.0,5000.0,22500.0
Aapan,2021-07-01-2021-12-31,Jul–Dec 2021,2021,37500.0,5000.0,42500.0
Aarp,2025-07-01-2025-12-31,Jul–Dec 2025,2025,37500.0,5000.0,42500.0
Aarp,2025-01-01-2025-06-30,Jan–Jun 2025,2025,17500.0,5000.0,22500.0
Aarp,2024-07-01-2024-12-31,Jul–Dec 2024,2024,5000.0,5000.0,10000.0
Aarp,2024-01-01-2024-06-30,Jan–Jun 2024,2024,17500.0,5000.0,22500.0
Aarp,2023-07-01-2023-12-31,Jul–Dec 2023,2023,17500.0,5000.0,22500.0
Aarp,2023-01-01-2023-06-30,Jan–Jun 2023,2023,5000.0,5000.0,10000.0
Aarp,2022-07-01-2022-12-31,Jul–Dec 2022,2022,5000.0,5000.0,10000.0
Aarp,2022-01-01-2022-06-30,Jan–Jun 2022,2022,5000.0,5000.0,10000.0
Aarp,2021-07-01-2021-12-31,Jul–Dec 2021,2021,5000.0,5000.0,10000.0
Aarp,2021-01-01-2021-06-30,Jan–Jun 2021,2021,5000.0,5000.0,10000.0
Aarp,2020-07-01-2020-12-31,Jul–Dec 2020,2020,17500.0,37500.0,55000.0
Aarp,2020-01-01-2020-06-30,Jan–Jun 2020,2020,75000.0,37500.0,112500.0
Aarp,2019-07-01-2019-12-31,Jul–Dec 2019,2019,17500.0,5000.0,22500.0
Aarp,2019-01-01-2019-06-30,Jan–Jun 2019,2019,175000.0,5000.0,180000.0
Aarp,2018-07-01-2018-12-31,Jul–Dec 2018,2018,75000.0,17500.0,92500.0
