entity_name,website,lob_total_15yr,lob_total_10yr,lob_total_5yr,lob_total_2025,has_lobbying,donor_type,cf_politician_reference,cf_total_15yr,cf_total_10yr,cf_total_5yr,cf_total_2025,has_cf,ie_politician_reference,ie_total_15yr,ie_total_10yr,ie_total_5yr,ie_total_2025,has_ie,grand_total_15yr,grand_total_10yr,grand_total_5yr,grand_total_2025,qualifies_15yr,qualifies_10yr,qualifies_5yr,qualifies_2025
Altria Group,,2665000.0,2025000.0,1162500.0,272500.0,True,Company,0,257000.0,216000.0,98000.0,46000.0,True,0.0,0.0,0.0,0.0,0.0,False,2922000.0,2241000.0,1260500.0,318500.0,True,True,True,True
Tennesseans For Student Success,,1625000.0,1412500.0,800000.0,160000.0,True,Company,0,4373.26,4373.26,0.0,0.0,True,0.0,1237496.82,1237496.82,1237496.82,0.0,True,2866870.08,2654370.08,2037496.82,160000.0,True,True,True,True
Oracle,,2805000.0,2450000.0,1650000.0,360000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2805000.0,2450000.0,1650000.0,360000.0,True,True,True,True
Csx Transportation,,2482500.0,1242500.0,630000.0,65000.0,True,Company,0,228250.0,116750.0,19750.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,2710750.0,1359250.0,649750.0,65000.0,True,True,True,True
Tennessee Municipal Electric Power Association,,2690000.0,1987500.0,1375000.0,372500.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2690000.0,1987500.0,1375000.0,372500.0,True,True,True,True
State Farm,,2652500.0,1962500.0,1050000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2652500.0,1962500.0,1050000.0,160000.0,True,True,True,True
Tennessee Society Of Anesthesiologists,,1305000.0,1095000.0,800000.0,185000.0,True,Company,0,1324983.0,934033.0,408483.0,80400.0,True,0.0,10219.12,10219.12,1383.5,0.0,True,2640202.12,2039252.12,1209866.5,265400.0,True,True,True,True
Tennessean'S For Quality Early Education,,1972500.0,1972500.0,1500000.0,342500.0,True,Company,0,345350.0,345350.0,172850.0,26500.0,True,0.0,312039.81,312039.81,164662.81,0.0,True,2629889.81,2629889.81,1837512.81,369000.0,True,True,True,True
Lkq Corp,,2382500.0,2167500.0,462500.0,85000.0,True,Company,0,247000.0,152000.0,53500.0,8000.0,True,0.0,0.0,0.0,0.0,0.0,False,2629500.0,2319500.0,516000.0,93000.0,True,True,True,True
Tennessee Hospitality & Tourism Association,,1747500.0,1220000.0,550000.0,160000.0,True,Company,0,807493.0,508993.0,93700.0,0.0,True,0.0,0.0,0.0,0.0,0.0,False,2554993.0,1728993.0,643700.0,160000.0,True,True,True,True
Tennessee Broadband Communications Council - Tennessee Fiber Optic Communities,,2465000.0,1725000.0,725000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2465000.0,1725000.0,725000.0,160000.0,True,True,True,True
Tennessee Retail Association,,2290000.0,1650000.0,850000.0,210000.0,True,Company,0,159500.0,91000.0,40750.0,12000.0,True,0.0,0.0,0.0,0.0,0.0,False,2449500.0,1741000.0,890750.0,222000.0,True,True,True,True
Tennessee Association Of Professional Bail Agents,,1517500.0,995000.0,532500.0,192500.0,True,Company,0,898150.0,622600.0,279350.0,60500.0,True,0.0,0.0,0.0,0.0,0.0,False,2415650.0,1617600.0,811850.0,253000.0,True,True,True,True
University Of Tennessee Medical Center,,2402500.0,1725000.0,837500.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2402500.0,1725000.0,837500.0,160000.0,True,True,True,True
Tennessee Organization Of School Superintendents,,2400000.0,2200000.0,1150000.0,160000.0,True,,0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,False,2400000.0,2200000.0,1150000.0,160000.0,True,True,True,True
