spender_name,original_name,spender_politician_reference,total_total_since_2012,total_total_since_2017,total_total_since_2022,total_total_since_2025,support_total_since_2012,support_total_since_2017,support_total_since_2022,support_total_since_2025,oppose_total_since_2012,oppose_total_since_2017,oppose_total_since_2022,oppose_total_since_2025
Win For Tennessee Families,Win For Tennessee Families,,68630.23,68630.23,0.0,0.0,68630.23,68630.23,0.0,0.0,0.0,0.0,0.0,0.0
Best Of Tennessee Action Fund,Best Of Tennessee Action Fund,,57471.119999999995,57471.119999999995,57471.119999999995,0.0,57471.119999999995,57471.119999999995,57471.119999999995,0.0,0.0,0.0,0.0,0.0
Tennesseans For Greater Accountability,Tennesseans For Greater Accountability,,57421.58,57421.58,0.0,0.0,10160.32,10160.32,0.0,0.0,47261.26,47261.26,0.0,0.0
American Conservative Union,American Conservative Union,,50000.0,50000.0,0.0,0.0,50000.0,50000.0,0.0,0.0,0.0,0.0,0.0,0.0
Leadership Pioneers,Leadership Pioneers,,41986.5,41986.5,0.0,0.0,41986.5,41986.5,0.0,0.0,0.0,0.0,0.0,0.0
Matthew Hill PAC,Overmountain Pac,"Hill, Matthew",37990.0,0.0,0.0,0.0,37990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Yarbro PAC,Envision Tennessee,"Yarbro, Jeff",37416.91,37416.91,0.0,0.0,37416.91,37416.91,0.0,0.0,0.0,0.0,0.0,0.0
Nra Political Victory Fund,Nra Political Victory Fund,,32755.520000000004,32755.520000000004,32755.520000000004,0.0,32755.520000000004,32755.520000000004,32755.520000000004,0.0,0.0,0.0,0.0,0.0
People For Fairness And Justice,People For Fairness And Justice,,30500.0,30500.0,30500.0,0.0,30500.0,30500.0,30500.0,0.0,0.0,0.0,0.0,0.0
Tfm Media Marketing,Tfm Media Marketing,,28800.0,28800.0,28800.0,0.0,28800.0,28800.0,28800.0,0.0,0.0,0.0,0.0,0.0
Defend Us Pac,Defend Us Pac,,27756.990000000005,27756.990000000005,27756.990000000005,0.0,19314.700000000004,19314.700000000004,19314.700000000004,0.0,8442.289999999999,8442.289999999999,8442.289999999999,0.0
Humane Society Legislative Fund,Humane Society Legislative Fund,,27294.61,0.0,0.0,0.0,6869.0,0.0,0.0,0.0,20425.61,0.0,0.0,0.0
Bill Haslam PAC,Jobs4Tn Pac,"Haslam, Bill",27171.289999999997,0.0,0.0,0.0,27171.289999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Civic Engagement Forum,Civic Engagement Forum,,24052.12,24052.12,24052.12,0.0,0.0,0.0,0.0,0.0,24052.12,24052.12,24052.12,0.0
"Our Children, Our Choice Tn","Our Children, Our Choice Tn",,22623.370000000003,2075.91,0.0,0.0,22623.370000000003,2075.91,0.0,0.0,0.0,0.0,0.0,0.0
Memphis For All Pac,Memphis For All Pac,,20700.620000000003,20700.620000000003,20700.620000000003,0.0,20700.620000000003,20700.620000000003,20700.620000000003,0.0,0.0,0.0,0.0,0.0
Nashville Justice League,Nashville Justice League,,19919.3,19919.3,19919.3,0.0,19919.3,19919.3,19919.3,0.0,0.0,0.0,0.0,0.0
Tennessee Right To Life Pac,Tennessee Right To Life Pac,,18240.170000000002,478.02,0.0,0.0,18240.170000000002,478.02,0.0,0.0,0.0,0.0,0.0,0.0
Tennesseans For Common Sense Pac,Tennesseans For Common Sense Pac,,17552.69,17552.69,0.0,0.0,600.0,600.0,0.0,0.0,16952.69,16952.69,0.0,0.0
Bill Ketron PAC,Quest Pac,"Ketron, Bill",15699.46,15699.46,0.0,0.0,15699.46,15699.46,0.0,0.0,0.0,0.0,0.0,0.0
Davidson Concerned Citizens Coalition,Davidson Concerned Citizens Coalition,,15000.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,15000.0,0.0,0.0
Shelby County Democratic Party - Pac,Shelby County Democratic Party - Pac,,14044.48,14044.48,14044.48,0.0,14044.48,14044.48,14044.48,0.0,0.0,0.0,0.0,0.0
Tennesseans For Clean Energy,Tennesseans For Clean Energy,,13772.54,13772.54,13772.54,0.0,13772.54,13772.54,13772.54,0.0,0.0,0.0,0.0,0.0
Let America Vote,Let America Vote,,13709.099999999999,13709.099999999999,0.0,0.0,13709.099999999999,13709.099999999999,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee Forum,Tennessee Forum,,12581.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12581.36,0.0,0.0,0.0
Tennessee Conservatives Pac,Tennessee Conservatives Pac,,12454.28,12454.28,12454.28,0.0,0.0,0.0,0.0,0.0,12454.28,12454.28,12454.28,0.0
Safe Pac,Safe Pac,,11907.46,11907.46,11907.46,0.0,0.0,0.0,0.0,0.0,11907.46,11907.46,11907.46,0.0
Change Tn Action Fund,Change Tn Action Fund,,10945.939999999997,10945.939999999997,10945.939999999997,0.0,8945.939999999999,8945.939999999999,8945.939999999999,0.0,2000.0,2000.0,2000.0,0.0
Win At The Door Pac,Win At The Door Pac,,10857.0,10857.0,0.0,0.0,10857.0,10857.0,0.0,0.0,0.0,0.0,0.0,0.0
Ballad Health,Friends Of Mountain States,,10737.87,10737.87,0.0,0.0,10737.87,10737.87,0.0,0.0,0.0,0.0,0.0,0.0
Service Employees International Union,Tennessee State Council - Seiu,,10502.759999999998,8357.79,4230.67,0.0,10502.759999999998,8357.79,4230.67,0.0,0.0,0.0,0.0,0.0
Conservatives For Safe Tennesseans,Conservatives For Safe Tennesseans,,10308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10308.0,0.0,0.0,0.0
Tennessee Society of Anesthesiologists,Tennessee Anesthesiologists Pac,,10219.12,10219.12,1383.5,0.0,10219.12,10219.12,1383.5,0.0,0.0,0.0,0.0,0.0
Tennesseans For Truth In Politics,Tennesseans For Truth In Politics,,10064.27,10064.27,0.0,0.0,0.0,0.0,0.0,0.0,10064.27,10064.27,0.0,0.0
Bristol Motor Speedway Pac,Bristol Motor Speedway Pac,,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.0,0.0,0.0,0.0
Johnson Poss Government Relations,Johnson Poss Government Relations,,9939.78,0.0,0.0,0.0,9939.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Future901,Future901,,9472.189999999999,9472.189999999999,7774.19,690.0,3625.2799999999997,3625.2799999999997,1927.28,690.0,5846.91,5846.91,5846.91,0.0
Tennesseans For Liberty Pac,Tennesseans For Liberty Pac,,9094.27,9094.27,9094.27,0.0,500.0,500.0,500.0,0.0,8594.27,8594.27,8594.27,0.0
Timothy Hill PAC,People Working For Reform,"Hill, Timothy",7762.24,7762.24,0.0,0.0,7762.24,7762.24,0.0,0.0,0.0,0.0,0.0,0.0
Cumberland Health & Wellness Pac,Cumberland Health & Wellness Pac,,7636.75,7636.75,0.0,0.0,7636.75,7636.75,0.0,0.0,0.0,0.0,0.0,0.0
Copart Pac,Copart Pac,,7575.0,0.0,0.0,0.0,7575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Party Of Washington County,Democratic Party Of Washington County,,7240.0,7240.0,7240.0,0.0,7240.0,7240.0,7240.0,0.0,0.0,0.0,0.0,0.0
Faith Family Freedom Fund,Faith Family Freedom Fund,,7200.0,7200.0,0.0,0.0,200.0,200.0,0.0,0.0,7000.0,7000.0,0.0,0.0
Southern States Police Benevolent Assn Pac,Southern States Police Benevolent Assn Pac,,7033.7300000000005,7033.7300000000005,0.0,0.0,7033.7300000000005,7033.7300000000005,0.0,0.0,0.0,0.0,0.0,0.0
Roving Patriots Pac,Roving Patriots Pac,,6728.16,6728.16,0.0,0.0,0.0,0.0,0.0,0.0,6728.16,6728.16,0.0,0.0
Conservative Alliance Of Tennessee Pac,Conservative Alliance Of Tennessee Pac,,5645.35,0.0,0.0,0.0,5645.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cumberland County Democratic Executive Committee,Cumberland County Democratic Executive Committee,,5278.87,3250.0,0.0,0.0,5278.87,3250.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeremy Faison PAC,Faison'S Freedom,"Faison, Jeremy",5182.139999999999,5182.139999999999,0.0,0.0,5182.139999999999,5182.139999999999,0.0,0.0,0.0,0.0,0.0,0.0
Latino Victory Fund,Latino Victory Fund,,5162.38,5162.38,0.0,0.0,5162.38,5162.38,0.0,0.0,0.0,0.0,0.0,0.0
Acadia Healthcare,"Acadia Healthcare Company, Inc.",,5075.64,5075.64,0.0,0.0,5075.64,5075.64,0.0,0.0,0.0,0.0,0.0,0.0
Tennesseans For Economic Freedom,Tennesseans For Economic Freedom,,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0,0.0
Tennessee Keep Your Legislature Efficient Pac,Tennessee Keep Your Legislature Efficient Pac,,4750.0,0.0,0.0,0.0,4750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tennessee Chamber of Commerce & Industry,Tennessee Chamber Of Commerce And Industry Pac,,4625.6,4625.6,4474.08,0.0,4625.6,4625.6,4474.08,0.0,0.0,0.0,0.0,0.0
Tennessee Mompac,Tennessee Mompac,,4500.0,4500.0,4500.0,0.0,0.0,0.0,0.0,0.0,4500.0,4500.0,4500.0,0.0
Sara Kyle PAC,Yellow Rose Pac,"Kyle, Sara",4478.33,4478.33,0.0,0.0,4478.33,4478.33,0.0,0.0,0.0,0.0,0.0,0.0
Tra Pac,Tra Pac,,4109.0,2077.66,0.0,0.0,354.36,354.36,0.0,0.0,3754.6400000000003,1723.3000000000002,0.0,0.0
"Coker, Wolfe & Associates, Inc.","Coker, Wolfe & Associates, Inc.",,4102.51,4102.51,0.0,0.0,4102.51,4102.51,0.0,0.0,0.0,0.0,0.0,0.0
Clark Boyd PAC,Jcb Pac,"Boyd, Clark",4096.3,4096.3,4096.3,0.0,4096.3,4096.3,4096.3,0.0,0.0,0.0,0.0,0.0
Change Tn,Change Tn,,3983.0,3983.0,3983.0,0.0,3983.0,3983.0,3983.0,0.0,0.0,0.0,0.0,0.0
Tennesseans For Better Leadership Pac,Tennesseans For Better Leadership Pac,,3772.06,0.0,0.0,0.0,3772.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Friends Of Police - Volunteer Lodge#2,Friends Of Police - Volunteer Lodge#2,,3377.74,1087.24,0.0,0.0,3377.74,1087.24,0.0,0.0,0.0,0.0,0.0,0.0
National Federation of Independent Business,Nat'L Fed. Of Independent Business Tennessee Pac,,3173.7400000000007,1168.1299999999999,349.43,0.0,3173.7400000000007,1168.1299999999999,349.43,0.0,0.0,0.0,0.0,0.0
People For Quality Candidates,People For Quality Candidates,,3034.0,3034.0,3034.0,0.0,3034.0,3034.0,3034.0,0.0,0.0,0.0,0.0,0.0
