company_name,total_all,total_since_2016,total_since_2021,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,PAC Address,Links
American Heart Association,2001500.0,1284000.0,711500.0,150000.0,187500.0,188500.0,114500.0,77000.0,114500.0,152000.0,114500.0,114500.0,77000.0,161000.0,94500.0,152000.0,152000.0,152000.0,,
Reyonlds American,1979000.0,1444000.0,760000.0,152000.0,77000.0,77000.0,77000.0,152000.0,152000.0,152000.0,152000.0,76000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,,
Tennessee State Employees Association,1971000.0,1535500.0,760000.0,94500.0,77000.0,77000.0,93500.0,93500.0,77000.0,77000.0,317500.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,627 WOODLAND ST.,
Tennessee Titans,1939000.0,1607500.0,895500.0,40500.0,40500.0,78000.0,94500.0,78000.0,128000.0,128000.0,78000.0,226000.0,152000.0,152000.0,188500.0,151000.0,152000.0,252000.0,460 GREAT CIRCLE RD,https://www.tennesseetitans.com/team/front-office-roster/adolpho-birch-iii
Cigna - Express Scripts,1923500.0,1095500.0,365000.0,114500.0,134000.0,291500.0,134000.0,154000.0,154000.0,191500.0,191500.0,116500.0,77000.0,77000.0,57000.0,77000.0,77000.0,77000.0,,
Maximus,1921500.0,1332500.0,685000.0,152000.0,114500.0,152000.0,93500.0,77000.0,77000.0,114500.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,77000.0,,
Tennessean's For Quality Early Education,1920500.0,1920500.0,1484000.0,0.0,0.0,0.0,0.0,0.0,57000.0,57000.0,94500.0,77000.0,151000.0,225000.0,426000.0,238500.0,252000.0,342500.0,,
Tennessee Farm Bureau,1913000.0,1282000.0,670000.0,130000.0,110000.0,130000.0,130000.0,131000.0,147500.0,147500.0,110000.0,130000.0,77000.0,130000.0,130000.0,150000.0,130000.0,130000.0,,
Tennessee Public and Teaching Hospital Association,1913000.0,1174000.0,610000.0,114500.0,152000.0,168500.0,152000.0,152000.0,152000.0,76000.0,114500.0,57000.0,164500.0,114500.0,152000.0,114500.0,152000.0,77000.0,,
Nashville Convention and Visitors Bureau,1876000.0,1684000.0,1170500.0,37000.0,4000.0,37000.0,57000.0,57000.0,114500.0,131000.0,77000.0,77000.0,114000.0,151500.0,239000.0,289000.0,289000.0,202000.0,,
Pharmaceutical Research And Manufacturers of America,1872000.0,1527000.0,917000.0,77000.0,37000.0,77000.0,77000.0,77000.0,77000.0,77000.0,152000.0,152000.0,152000.0,276000.0,152000.0,152000.0,168500.0,168500.0,,
Tennessee Infrastructure Alliance,1813500.0,1228500.0,185000.0,0.0,0.0,0.0,0.0,585000.0,555000.0,325000.0,75000.0,35000.0,53500.0,18500.0,18500.0,0.0,37000.0,111000.0,,
Tennessee Hospitality & Tourism Association,1809500.0,1180000.0,514000.0,110000.0,110000.0,93500.0,131000.0,185000.0,185000.0,147500.0,147500.0,55000.0,131000.0,114500.0,77000.0,93500.0,77000.0,152000.0,,
Centene - Wellcare,1786000.0,1671500.0,1372500.0,0.0,0.0,114500.0,0.0,0.0,18500.0,57000.0,37000.0,53500.0,133000.0,164500.0,252000.0,302000.0,402000.0,252000.0,,https://www.wellcare.com/en/corporate/about-us/centene
Volkswagen,1733000.0,1274000.0,722500.0,114500.0,77000.0,77000.0,77000.0,113500.0,114500.0,77000.0,77000.0,131000.0,152000.0,152000.0,152000.0,152000.0,152000.0,114500.0,,
Piedmont Natural Gas,1730000.0,1232500.0,660000.0,77000.0,114500.0,114500.0,77000.0,114500.0,114500.0,114500.0,114500.0,152000.0,77000.0,77000.0,114500.0,114500.0,152000.0,202000.0,,
Tennessee Manufactured Housing Association,1717500.0,1295000.0,760000.0,114500.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,77000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,152000.0,,
